,full_address,neighborhood,nid,sale_price,prediction,difference
6265,"351 Vernon St, San Francisco, CA 94132",3 - Merced Heights,3020,1390000,1126774,263225
6268,"422 Vernon St, San Francisco, CA 94132",3 - Merced Heights,3020,1320000,1881082,-561082
6274,"239 Vernon St, San Francisco, CA 94132",3 - Ingleside Heights,3070,1525000,1358495,166504
6290,"278 Vernon St, San Francisco, CA 94132",3 - Ingleside Heights,3070,995000,488274,506725
6300,"355 Santa Ana Ave, San Francisco, CA 94127",4 - Balboa Terrace,4010,2600000,2915300,-315300
6305,"28 Forest Side Ave, San Francisco, CA 94127",4 - West Portal,4160,2250000,2379143,-129143
6328,"138 Madrone Ave, San Francisco, CA 94127",4 - West Portal,4160,3188888,3667054,-478166
6340,"1771 11th Ave, San Francisco, CA 94122",2 - Inner Sunset,2060,1662500,1647259,15240
6351,"1811 11th Ave, San Francisco, CA 94122-4603",2 - Golden Gate Heights,2010,1695000,1826284,-131284
6363,"240 9th Ave, San Francisco, CA 94118",1 - Inner Richmond,1020,3700000,3756517,-56517
6369,"275 9th Ave, San Francisco, CA 94118-2208",1 - Inner Richmond,1020,1995000,2076256,-81256
6377,"177 Wawona St, San Francisco, CA 94127",4 - West Portal,4160,3105000,3097923,7076
6388,"828 Balboa St, San Francisco, CA 94118-3644",1 - Inner Richmond,1020,2376500,2586239,-209739
6399,"1223 10th Ave, San Francisco, CA 94122",2 - Inner Sunset,2060,2250000,2320707,-70707
6415,"526 Castenada Ave, San Francisco, CA 94116",4 - Forest Hill,4030,1750000,1844901,-94901
6421,"99 Cragmont Ave, San Francisco, CA 94116",2 - Golden Gate Heights,2010,1500000,1456404,43595
6424,"363 San Benito Way, San Francisco, CA 94127",4 - Balboa Terrace,4010,1950000,1854699,95300
6428,"432 Lawton St, San Francisco, CA 94122",2 - Inner Sunset,2060,1760000,1789788,-29788
6455,"432 Moraga St, San Francisco, CA 94122",2 - Inner Sunset,2060,3400000,4096723,-696723
6457,"4651 California St, San Francisco, CA 94118-1224",1 - Lake Street,1040,2650000,2688770,-38770
6468,"1449 10th Ave, San Francisco, CA 94122-3602",2 - Inner Sunset,2060,1410000,1755847,-345847
6470,"555 Arch St, San Francisco, CA 94132",3 - Merced Heights,3020,1150000,774780,375219
6471,"90 San Benito Way, San Francisco, CA 94127",4 - St. Francis Wood,4070,2550000,2586268,-36268
6478,"564 Arch St, San Francisco, CA 94132-2706",3 - Merced Heights,3020,1430000,1317049,112950
6513,"140 San Benito Way, San Francisco, CA 94127",4 - St. Francis Wood,4070,2960000,2931523,28476
6516,"346 San Benito Way, San Francisco, CA 94127",4 - Balboa Terrace,4010,1800000,1633378,166621
6548,"12 Madrone Ave, San Francisco, CA 94127",4 - West Portal,4160,1730000,1836563,-106563
6558,"1711 10th Ave, San Francisco, CA 94122-4625",2 - Inner Sunset,2060,1400000,1699344,-299344
6567,"9 Gateview Ct, San Francisco, CA 94116",2 - Golden Gate Heights,2010,1740000,2236967,-496967
6570,"341 Dorantes Ave, San Francisco, CA 94116",4 - Forest Hill,4030,2400000,2333488,66511
6574,"40 Terrace Dr, San Francisco, CA 94127-1528",4 - St. Francis Wood,4070,1850000,2476861,-626861
6582,"181 8th Ave, San Francisco, CA 94118",1 - Lake Street,1040,3030000,3545568,-515568
6589,"1847 10th Ave, San Francisco, CA 94122-4601",2 - Inner Sunset,2060,1705000,1644743,60256
6592,"1858 10th Ave, San Francisco, CA 94122",2 - Inner Sunset,2060,1615000,1642708,-27708
6617,"55 Terrace Dr, San Francisco, CA 94127",4 - St. Francis Wood,4070,3005000,3697885,-692885
6642,"624 Urbano Dr, San Francisco, CA 94127",4 - Ingleside Terrace,4050,1995000,1773333,221666
6645,"730 Cabrillo St, San Francisco, CA 94118",1 - Inner Richmond,1020,1500000,1300994,199005
6649,"3821 Alemany Blvd, San Francisco, CA 94132",3 - Ingleside Heights,3070,1325000,1195976,129023
6670,"191 Corona St, San Francisco, CA 94127",4 - Ingleside Terrace,4050,2000000,1957568,42431
6671,"275 Santa Clara Ave, San Francisco, CA 94127",4 - St. Francis Wood,4070,2700000,2777041,-77041
6687,"435 Ramsell St, San Francisco, CA 94132",3 - Merced Heights,3020,1250000,903244,346755
6743,"44 Aptos Ave, San Francisco, CA 94127-2519",4 - Balboa Terrace,4010,2400000,2865616,-465616
6748,"426 Castenada Ave, San Francisco, CA 94116",4 - Forest Hill,4030,2650000,2970402,-320402
6757,"49 Westgate Dr, San Francisco, CA 94127",4 - Mount Davidson Manor,4120,1337000,1229772,107227
6765,"4526 California St, San Francisco, CA 94118",1 - Lake Street,1040,2500000,2622880,-122880
6785,"1663 9th Ave, San Francisco, CA 94122",2 - Inner Sunset,2060,1375000,1314539,60460
6787,"65 Westgate Dr, San Francisco, CA 94127-2737",4 - Mount Davidson Manor,4120,1440000,1486434,-46434
6800,"87 Santa Cruz Ave, San Francisco, CA 94112",10 - Outer Mission,10040,650000,343131,306868
6804,"109 7th Ave, San Francisco, CA 94118",1 - Lake Street,1040,3450000,3728196,-278196
6817,"20 Pinehurst Way, San Francisco, CA 94127",4 - Mount Davidson Manor,4120,1625000,1596736,28263
6822,"385 Castenada Ave, San Francisco, CA 94116",4 - Forest Hill,4030,3100000,3813923,-713923
6824,"35 Santa Cruz Ave, San Francisco, CA 94112",10 - Outer Mission,10040,1200000,1231932,-31932
6840,"256 Dorantes Ave, San Francisco, CA 94116-1917",4 - Forest Hill,4030,2350000,2449609,-99609
6841,"314 Shields St, San Francisco, CA 94132",3 - Merced Heights,3020,1100000,1016752,83247
6847,"1904 9th Ave, San Francisco, CA 94116",2 - Golden Gate Heights,2010,2100000,2224376,-124376
6860,"500 Upland Dr, San Francisco, CA 94127",4 - Balboa Terrace,4010,1594000,1401139,192860
6869,"569 Victoria St, San Francisco, CA 94132",3 - Merced Heights,3020,1450000,1420855,29144
6879,"544 Victoria St, San Francisco, CA 94132-2742",3 - Merced Heights,3020,1050000,777883,272116
6890,"418 Victoria St, San Francisco, CA 94132",3 - Merced Heights,3020,1300000,1052594,247405
6895,"350 Victoria St, San Francisco, CA 94132",3 - Ingleside Heights,3070,1105100,1049442,55657
6914,"459 Magellan Ave, San Francisco, CA 94116",4 - Forest Hill,4030,2730000,2731425,-1425
6947,"60 Pinehurst Way, San Francisco, CA 94127-2736",4 - Mount Davidson Manor,4120,1910000,1947420,-37420
6978,"665 Victoria St, San Francisco, CA 94127",4 - Ingleside Terrace,4050,1918000,1927570,-9570
6989,"98 Sotelo Ave, San Francisco, CA 94116",4 - Forest Hill,4030,2825249,2836681,-11432
6994,"2101 9th Ave, San Francisco, CA 94116-1356",4 - Forest Hill,4030,2251000,2242968,8031
6996,"1556 8th Ave, San Francisco, CA 94122-3709",2 - Inner Sunset,2060,1825000,1950895,-125895
7008,"685 Victoria St, San Francisco, CA 94127",4 - Ingleside Terrace,4050,2650000,2534482,115517
7018,"1616 8th Ave, San Francisco, CA 94122",2 - Inner Sunset,2060,2200000,2265044,-65044
7025,"233 Garfield St, San Francisco, CA 94132",3 - Merced Heights,3020,1225000,1250602,-25602
7026,"180 Westgate Dr, San Francisco, CA 94127",4 - Mount Davidson Manor,4120,2150000,2175319,-25319
7041,"27 Santa Barbara Ave, San Francisco, CA 94112",10 - Outer Mission,10040,1088888,1510529,-421641
7044,"637 Darien Way, San Francisco, CA 94127-2524",4 - Mount Davidson Manor,4120,2700000,3414848,-714848
7045,"149 Terrace Dr, San Francisco, CA 94127",4 - St. Francis Wood,4070,2125000,2133216,-8216
7060,"2170 9th Ave, San Francisco, CA 94116",4 - Forest Hill,4030,2150000,2300949,-150949
7072,"1775 8th Ave, San Francisco, CA 94122",2 - Inner Sunset,2060,1975000,1915751,59248
7079,"1780-1782 8th Ave, San Francisco, CA 94122",2 - Inner Sunset,2060,2140000,2738460,-598460
7086,"206 Shields St, San Francisco, CA 94132",3 - Merced Heights,3020,910000,579366,330633
7090,"96 San Andreas, San Francisco, CA 94127",4 - St. Francis Wood,4070,2750000,2955893,-205893
7099,"201 Shields St, San Francisco, CA 94132",3 - Merced Heights,3020,1156000,1848779,-692779
7102,"234 6th Ave, San Francisco, CA 94118",1 - Inner Richmond,1020,1100000,1165227,-65227
7117,"752 Head St, San Francisco, CA 94132-2812",3 - Merced Heights,3020,935000,870282,64717
7119,"70 Manor Dr, San Francisco, CA 94127",4 - Mount Davidson Manor,4120,2200000,2268912,-68912
7126,"579 Head St, San Francisco, CA 94132",3 - Ingleside Heights,3070,1108000,960781,147218
7134,"562 Head St, San Francisco, CA 94132",3 - Ingleside Heights,3070,815000,516924,298075
7138,"57 Santa Rita Ave, San Francisco, CA 94116",4 - Forest Hill,4030,1883000,3768131,-1885131
7140,"435 Head St, San Francisco, CA 94132",3 - Ingleside Heights,3070,850000,733957,116042
7145,"363 Head St, San Francisco, CA 94132",3 - Ingleside Heights,3070,955000,641970,313029
7147,"379 Head St, San Francisco, CA 94132",3 - Ingleside Heights,3070,770000,272867,497132
7154,"350 Head St, San Francisco, CA 94132",3 - Ingleside Heights,3070,1000000,536348,463651
7167,"830 Victoria St, San Francisco, CA 94127-2725",4 - Ingleside Terrace,4050,1510000,1477053,32946
7178,"745 Victoria St, San Francisco, CA 94127-2838",4 - Ingleside Terrace,4050,2100000,2428292,-328292
7195,"1266 7th Ave, San Francisco, CA 94122",2 - Inner Sunset,2060,1680000,1844965,-164965
7202,"1316 Portola Dr, San Francisco, CA 94127",4 - West Portal,4160,1605000,1799285,-194285
7209,"66 Yerba Buena Ave, San Francisco, CA 94127",4 - St. Francis Wood,4070,2525000,2543510,-18510
7225,"19 Santa Rita Ave, San Francisco, CA 94116",4 - Forest Hill,4030,2820000,3553031,-733031
7234,"431 Lake St, San Francisco, CA 94118",1 - Lake Street,1040,3210000,3426121,-216121
7236,"109 Alton Ave, San Francisco, CA 94116",4 - Forest Hill,4030,3020000,4036115,-1016115
7237,"1461 7th Ave, San Francisco, CA 94122-3702",2 - Inner Sunset,2060,2275000,2343755,-68755
7247,"425 Lake St, San Francisco, CA 94118",1 - Lake Street,1040,4095000,4195880,-100880
7253,"61 San Andreas Way, San Francisco, CA 94127",4 - St. Francis Wood,4070,3375000,3341463,33536
7258,"1559 7th Ave, San Francisco, CA 94122",2 - Inner Sunset,2060,2670000,2763088,-93088
7262,"3501 Alemany Blvd, San Francisco, CA 94132",3 - Ingleside Heights,3070,1350000,1725838,-375838
7268,"55 San Andreas Way, San Francisco, CA 94127",4 - St. Francis Wood,4070,3255000,3276614,-21614
7273,"768 6th Ave, San Francisco, CA 94118",1 - Inner Richmond,1020,1300000,1044314,255685
7275,"45 San Andreas Way, San Francisco, CA 94127",4 - St. Francis Wood,4070,2000000,1862657,137342
7282,"37 5th Ave, San Francisco, CA 94118",1 - Lake Street,1040,4425000,4411342,13657
7289,"163 Dorchester Way, San Francisco, CA 94127",4 - West Portal,4160,2302000,2321000,-19000
7299,"11 San Jacinto Way, San Francisco, CA 94127",4 - St. Francis Wood,4070,4600000,6523634,-1923634
7310,"549 Bright St, San Francisco, CA 94132",3 - Merced Heights,3020,1120000,823981,296018
7312,"75 Santa Monica Way, San Francisco, CA 94127",4 - St. Francis Wood,4070,2575000,2918149,-343149
7323,"419 Bright St, San Francisco, CA 94132",3 - Merced Heights,3020,1330000,1106735,223264
7359,"147 Bright St, San Francisco, CA 94132",3 - Ingleside Heights,3070,920000,562540,357459
7374,"727 Ulloa St, San Francisco, CA 94127",4 - West Portal,4160,1510000,1782120,-272120
7412,"38 San Jacinto Way, San Francisco, CA 94127-2033",4 - Monterey Heights,4110,3660000,4516288,-856288
7435,"77 San Jacinto Way, San Francisco, CA 94127",4 - Monterey Heights,4110,2055000,1975164,79835
7437,"60 Ventura Ave, San Francisco, CA 94116",4 - Forest Hill,4030,2885000,2962603,-77603
7445,"539 5th Ave, San Francisco, CA 94118",1 - Inner Richmond,1020,1700000,1436909,263090
7454,"1295 Monterey Blvd, San Francisco, CA 94127-2507",4 - Monterey Heights,4110,2910000,3530839,-620839
7458,"155 Upland Dr, San Francisco, CA 94127",4 - Mount Davidson Manor,4120,2250000,2534602,-284602
7472,"618 5th Ave, San Francisco, CA 94118",1 - Inner Richmond,1020,2300000,2283600,16399
7479,"340 Magellan Ave, San Francisco, CA 94116-1469",4 - Forest Hill,4030,2908888,2998769,-89881
7481,"1487 6th Ave, San Francisco, CA 94122",2 - Inner Sunset,2060,1600000,1623863,-23863
7487,"40 Dorantes Ave, San Francisco, CA 94116",4 - Forest Hill,4030,2925000,3288009,-363009
7509,"265 Flournoy St, San Francisco, CA 94112",10 - Outer Mission,10040,700000,738246,-38246
7510,"88 Keystone Way, San Francisco, CA 94127",4 - Mount Davidson Manor,4120,1500000,1324494,175505
7519,"261 Flournoy St, San Francisco, CA 94112",10 - Outer Mission,10040,881000,848678,32321
7521,"475 Orizaba Ave, San Francisco, CA 94132",3 - Ingleside Heights,3070,850000,868988,-18988
7527,"462 Orizaba Ave, San Francisco, CA 94132-2833",3 - Ingleside Heights,3070,806000,593053,212946
7530,"35 Keystone Way, San Francisco, CA 94127",4 - Mount Davidson Manor,4120,1360000,1230270,129729
7534,"323 Orizaba Ave, San Francisco, CA 94132",3 - Ingleside Heights,3070,1380000,1297614,82385
7569,"205 Castenada Ave, San Francisco, CA 94116-1446",4 - Forest Hill,4030,2397000,2538561,-141561
7572,"2 Dorantes Ave, San Francisco, CA 94116",4 - Forest Hill,4030,2743000,2757172,-14172
7585,"127 San Pablo Ave, San Francisco, CA 94127",4 - St. Francis Wood,4070,2687000,2930937,-243937
7589,"121 Maywood Dr, San Francisco, CA 94127-2039",4 - Monterey Heights,4110,1960008,1848906,111101
7599,"145 Maywood Dr, San Francisco, CA 94127",4 - Monterey Heights,4110,1900000,1786751,113248
7604,"255 Ashton Ave, San Francisco, CA 94112",4 - Ingleside Terrace,4050,1650000,2079948,-429948
7611,"31 Ashton Ave, San Francisco, CA 94112",3 - Merced Heights,3020,1150000,771695,378304
7617,"92 Ashton Ave, San Francisco, CA 94112",3 - Merced Heights,3020,1275888,1032390,243497
7627,"869 Darien Way, San Francisco, CA 94127",4 - Mount Davidson Manor,4120,2050000,2032455,17544
7667,"225 Maywood Dr, San Francisco, CA 94127",4 - Monterey Heights,4110,3300000,5139268,-1839268
7672,"167 Maywood Dr, San Francisco, CA 94127",4 - Monterey Heights,4110,1735000,1659005,75994
7673,"88 Castenada Ave, San Francisco, CA 94116",4 - Forest Hill,4030,2465000,4063986,-1598986
7675,"507 4th Ave, San Francisco, CA 94118",1 - Inner Richmond,1020,1575000,1744101,-169101
7676,"288 Broad St, San Francisco, CA 94112",3 - Oceanview,3090,751000,289056,461943
7677,"288 Broad St, San Francisco, CA 94112",3 - Oceanview,3090,1320000,1145201,174798
7691,"783 Lakeview Ave, San Francisco, CA 94112",3 - Ingleside,3080,2000000,2464151,-464151
7693,"286 Sadowa St, San Francisco, CA 94112",3 - Oceanview,3090,1050000,573668,476331
7699,"572 4th Ave, San Francisco, CA 94118",1 - Inner Richmond,1020,2515000,2606723,-91723
7700,"175 Maywood Dr, San Francisco, CA 94127",4 - Monterey Heights,4110,1715000,1689885,25114
7701,"1435 5th Ave, San Francisco, CA 94122",2 - Inner Sunset,2060,3125000,3314643,-189643
7708,"184 Maywood Dr, San Francisco, CA 94127",4 - Monterey Heights,4110,2050000,2048035,1964
7714,"70 Ravenwood Dr, San Francisco, CA 94127",4 - Monterey Heights,4110,2200000,2455652,-255652
7726,"778 Lakeview Ave, San Francisco, CA 94112",3 - Ingleside,3080,1600000,1413430,186569
7728,"160 Dorado Ter, San Francisco, CA 94112",4 - Mount Davidson Manor,4120,1470000,1427973,42026
7741,"31 San Pablo Ave, San Francisco, CA 94127",4 - St. Francis Wood,4070,2500000,2426524,73475
7764,"629 Ulloa St, San Francisco, CA 94127",4 - West Portal,4160,2250629,2503907,-253278
7765,"247 Wilson St, San Francisco, CA 94112",10 - Outer Mission,10040,638000,305822,332177
7766,"270 Minerva St, San Francisco, CA 94112",3 - Oceanview,3090,1200000,979601,220398
7769,"25 San Pablo Ave, San Francisco, CA 94127",4 - St. Francis Wood,4070,2100000,2105915,-5915
7772,"126 Miraloma Dr, San Francisco, CA 94127",4 - Monterey Heights,4110,3925000,6760472,-2835472
7775,"125 Miraloma Dr, San Francisco, CA 94127",4 - Sherwood Forest,4100,2600000,3411706,-811706
7777,"48 Miraloma Dr, San Francisco, CA 94127",4 - Monterey Heights,4110,1675000,1561373,113626
7784,"146 Granville Way, San Francisco, CA 94127-1134",4 - West Portal,4160,1910500,1809382,101117
7792,"85 Marcela Ave, San Francisco, CA 94116",4 - Forest Hill,4030,2800000,2774319,25680
7797,"337 Warren Dr, San Francisco, CA 94131",4 - Forest Knolls,4040,2800000,2931290,-131290
7821,"215 3rd Ave, San Francisco, CA 94118-2415",1 - Inner Richmond,1020,4500000,4952144,-452144
7841,"43 Jules Ave, San Francisco, CA 94112",3 - Ingleside,3080,1215000,1041563,173436
7843,"67 Jules Ave, San Francisco, CA 94112",3 - Ingleside,3080,1250000,1039409,210590
7847,"149 Jules Ave, San Francisco, CA 94112",3 - Ingleside,3080,788000,255589,532410
7871,"260 Minerva St, San Francisco, CA 94112",3 - Oceanview,3090,780000,348170,431829
7887,"290 Thrift St, San Francisco, CA 94112",3 - Oceanview,3090,880000,445871,434128
7908,"754 Lakeview Ave, San Francisco, CA 94112",3 - Ingleside,3080,858000,394477,463522
7931,"10 Marcela Ave, San Francisco, CA 94116",4 - Forest Hill,4030,2100000,1983209,116790
7933,"541 Wildwood Way, San Francisco, CA 94112",4 - Westwood Park,4140,1338800,1375412,-36612
7946,"48 Marcela Ave, San Francisco, CA 94116",4 - Forest Hill,4030,2500000,2568211,-68211
7957,"1125 Monterey Blvd, San Francisco, CA 94127",4 - Monterey Heights,4110,1620000,1400370,219629
7963,"985 Darien Way, San Francisco, CA 94127",4 - Mount Davidson Manor,4120,1828888,1926831,-97943
7966,"185 Kensington Way, San Francisco, CA 94127",4 - Forest Hill Extensio,4090,1800000,1862359,-62359
7976,"33 Marcela Ave, San Francisco, CA 94116-1454",4 - Forest Hill,4030,2736000,3018156,-282156
7979,"472 Dewey Blvd, San Francisco, CA 94116",4 - Forest Hill,4030,1750000,1668401,81598
7986,"254 Thrift St, San Francisco, CA 94112-2923",3 - Oceanview,3090,1320000,923241,396758
7994,"242 Minerva St, San Francisco, CA 94112",3 - Oceanview,3090,888808,342702,546105
8012,"234 Montana St, San Francisco, CA 94112",3 - Oceanview,3090,958000,426253,531746
8019,"559 Ulloa St, San Francisco, CA 94127",4 - West Portal,4160,1660000,1628333,31666
8026,"140 Edgehill Way, San Francisco, CA 94127",4 - Forest Hill Extensio,4090,1710000,1556260,153739
8029,"180 St Elmo Way, San Francisco, CA 94127",4 - Monterey Heights,4110,2750000,2878841,-128841
8038,"721 Holloway Ave, San Francisco, CA 94112",3 - Ingleside,3080,900000,1067635,-167635
8069,"535 Ulloa St, San Francisco, CA 94127-1140",4 - West Portal,4160,1875000,1792560,82439
8086,"15 Presidio Ter, San Francisco, CA 94118",7 - Presidio Heights,7030,7650000,6639457,1010542
8140,"141 Devonshire Way, San Francisco, CA 94131",4 - Forest Knolls,4040,2500088,2494773,5314
8147,"226 Sagamore St, San Francisco, CA 94112-2948",3 - Oceanview,3090,945000,466960,478039
8169,"865 Faxon Ave, San Francisco, CA 94112",4 - Westwood Park,4140,1300000,1043363,256636
8189,"825 Faxon Ave, San Francisco, CA 94112-1205",4 - Westwood Park,4140,1842000,1710564,131435
8195,"15 Miraloma Dr, San Francisco, CA 94127",4 - Miraloma Park,4080,2400000,2430420,-30420
8206,"189 Warren Dr, San Francisco, CA 94131",4 - Forest Knolls,4040,2225000,2301954,-76954
8224,"2614 Fulton St, San Francisco, CA 94118-4026",1 - Inner Richmond,1020,1400000,1179810,220189
8232,"640 2nd Ave, San Francisco, CA 94118",1 - Inner Richmond,1020,3025000,3135618,-110618
8285,"1046 Anza St, San Francisco, CA 94118",1 - Inner Richmond,1020,2300000,2374406,-74406
8318,"57 Westwood Dr, San Francisco, CA 94112",4 - Westwood Park,4140,1180000,806937,373062
8320,"154 Westwood Dr, San Francisco, CA 94112",4 - Westwood Park,4140,2600000,2741645,-141645
8325,"141 Westwood Dr, San Francisco, CA 94122",4 - Westwood Park,4140,1870000,1713726,156273
8329,"60 Westwood Dr, San Francisco, CA 94112",4 - Westwood Park,4140,1250000,903206,346793
8332,"733 Capitol Ave, San Francisco, CA 94112",3 - Oceanview,3090,1175000,592218,582781
8346,"337 Capitol Ave, San Francisco, CA 94112",3 - Oceanview,3090,1050000,591397,458602
8354,"368 Capitol Ave, San Francisco, CA 94112",3 - Oceanview,3090,850000,270609,579390
8360,"1209 2nd Ave, San Francisco, CA 94122",2 - Inner Sunset,2060,1100000,758765,341234
8384,"558 Arguello Blvd, San Francisco, CA 94118-3203",1 - Lone Mountain,1070,1800000,1827009,-27009
8395,"276 Dalewood Way, San Francisco, CA 94127",4 - Sherwood Forest,4100,2195000,2428070,-233070
8398,"94 Rockaway Ave, San Francisco, CA 94127",4 - Forest Hill Extensio,4090,1505000,1350409,154590
8402,"685 Lakeview Ave, San Francisco, CA 94112",3 - Ingleside,3080,985000,704454,280545
8413,"55 Robinhood Dr, San Francisco, CA 94127",4 - Sherwood Forest,4100,2750000,3712196,-962196
8422,"511 Laguna Honda Blvd, San Francisco, CA 94127",4 - Forest Hill Extensio,4090,1410000,1199354,210645
8439,"65 Cresta Vista Dr, San Francisco, CA 94127",4 - Westwood Highlands,4130,1600000,1495259,104740
8440,"3962 Clay St, San Francisco, CA 94118-1624",7 - Presidio Heights,7030,4990000,5005370,-15370
8452,"512 Grafton Ave, San Francisco, CA 94112",3 - Ingleside,3080,1128788,841382,287405
8471,"167 Miramar Ave, San Francisco, CA 94112",3 - Ingleside,3080,925000,390361,534638
8478,"131 Miramar Ave, San Francisco, CA 94112-2253",3 - Ingleside,3080,1250000,864004,385995
8487,"218 Miramar Ave, San Francisco, CA 94112",3 - Ingleside,3080,1025000,628350,396649
8501,"62 Miramar Ave, San Francisco, CA 94112",3 - Ingleside,3080,1278000,978971,299028
8521,"281 Juanita Way, San Francisco, CA 94127-1744",4 - Miraloma Park,4080,1340000,1309948,30051
8570,"153 Galewood Cir, San Francisco, CA 94131",4 - Forest Knolls,4040,940000,675160,264839
8596,"53 Rockaway Ave, San Francisco, CA 94127-1029",4 - Forest Hill Extensio,4090,1800000,1848822,-48822
8606,"156 Galewood Cir, San Francisco, CA 94131",4 - Forest Knolls,4040,1350000,1199371,150628
8611,"144 Thrift St, San Francisco, CA 94112",3 - Oceanview,3090,910000,881964,28035
8615,"207 Christopher Dr, San Francisco, CA 94131",4 - Forest Knolls,4040,1515000,1282059,232940
8616,"145 Sadowa St, San Francisco, CA 94112-2941",3 - Oceanview,3090,1280000,1317106,-37106
8644,"164 Eastwood Dr, San Francisco, CA 94112",4 - Westwood Park,4140,1630000,1756593,-126593
8655,"215 Cherry St, San Francisco, CA 94118",7 - Presidio Heights,7030,8250000,7573113,676886
8658,"644 Laguna Honda Blvd, San Francisco, CA 94127-1020",4 - Forest Hill Extensio,4090,2450000,2575397,-125397
8660,"730 Euclid Ave, San Francisco, CA 94118",1 - Jordan Park/Laurel H,1030,3800000,4245178,-445178
8668,"159 Granada Ave, San Francisco, CA 94112-2241",3 - Ingleside,3080,1320000,1182077,137922
8669,"177 Granada Ave, San Francisco, CA 94112",3 - Ingleside,3080,1320000,1078921,241078
8671,"215 Granada Ave, San Francisco, CA 94112",3 - Ingleside,3080,975000,605948,369051
8699,"671 Laguna Honda Blvd, San Francisco, CA 94127-1056",4 - Forest Hill Extensio,4090,1600000,1477094,122905
8723,"120 Cresta Vista Dr, San Francisco, CA 94127",4 - Westwood Highlands,4130,1700000,1549427,150572
8729,"3765 Jackson St, San Francisco, CA 94118",7 - Presidio Heights,7030,4600000,4539390,60609
8748,"22 Hillway Ave, San Francisco, CA 94117",5 - Cole Valley/Parnassu,5050,1900000,1665272,234727
8752,"146 Jordan Ave, San Francisco, CA 94118",1 - Jordan Park/Laurel H,1030,5200000,5429445,-229445
8759,"617 Lakeview Ave, San Francisco, CA 94112",3 - Ingleside,3080,1080000,722081,357918
8762,"406 Lansdale Ave, San Francisco, CA 94127",4 - Sherwood Forest,4100,1825000,2997694,-1172694
8765,"3756 Jackson St, San Francisco, CA 94118",7 - Presidio Heights,7030,12000000,10627606,1372393
8793,"1411 Plymouth Ave, San Francisco, CA 94112",4 - Westwood Park,4140,1800000,1616851,183148
8810,"3880 Sacramento St, San Francisco, CA 94118",7 - Presidio Heights,7030,4300000,4629931,-329931
8817,"41 Liebig St, San Francisco, CA 94112",10 - Outer Mission,10040,1062000,1190238,-128238
8822,"1494 Plymouth Ave, San Francisco, CA 94112",4 - Westwood Park,4140,2625000,2623739,1260
8839,"608 Lakeview Ave, San Francisco, CA 94112",3 - Ingleside,3080,1100000,1203499,-103499
8853,"316 Grafton Ave, San Francisco, CA 94112",3 - Ingleside,3080,900000,533692,366307
8863,"310 Valdez Ave, San Francisco, CA 94127",4 - Westwood Highlands,4130,1698000,1595577,102422
8865,"96 Brentwood Ave, San Francisco, CA 94127",4 - Westwood Highlands,4130,1950000,1880876,69123
8878,"72 Rossi Ave, San Francisco, CA 94118-4239",1 - Lone Mountain,1070,2730000,2918290,-188290
8885,"232 Juanita Way, San Francisco, CA 94127-1736",4 - Miraloma Park,4080,1925000,1952047,-27047
8892,"1180 Plymouth Ave, San Francisco, CA 94121",3 - Ingleside,3080,700000,188896,511103
8899,"1058 Plymouth Ave, San Francisco, CA 94112",3 - Ingleside,3080,1350000,1194155,155844
8915,"248 Colon Ave, San Francisco, CA 94112",4 - Westwood Park,4140,1660000,1661852,-1852
8946,"225 Valdez Ave, San Francisco, CA 94127",4 - Westwood Highlands,4130,2250000,2682405,-432405
8954,"34 Maple St, San Francisco, CA 94118",7 - Presidio Heights,7030,18500000,15481515,3018484
8957,"2 Hill Point Ave, San Francisco, CA 94117",5 - Cole Valley/Parnassu,5050,3070000,2883805,186194
8983,"126 Commonwealth Ave, San Francisco, CA 94118",1 - Jordan Park/Laurel H,1030,9000000,8951725,48274
8999,"2 Hernandez Ave, San Francisco, CA 94127",4 - Forest Hill Extensio,4090,1826500,1767904,58595
9003,"14 Woodhaven Ct, San Francisco, CA 94131",4 - Forest Knolls,4040,1430000,1175618,254381
9010,"955 Portola Dr, San Francisco, CA 94127",4 - Miraloma Park,4080,1748750,1670560,78189
9011,"39 Christopher Dr, San Francisco, CA 94131",4 - Forest Knolls,4040,1370000,1241067,128932
9019,"39 Minerva St, San Francisco, CA 94112",3 - Oceanview,3090,1180000,828970,351029
9023,"472 Lansdale Ave, San Francisco, CA 94127-1617",4 - Sherwood Forest,4100,1350000,1121853,228146
9028,"312 Maple St, San Francisco, CA 94118",7 - Presidio Heights,7030,4395000,4728736,-333736
9035,"175 Stanyan St, San Francisco, CA 94118",1 - Lone Mountain,1070,2350000,2441052,-91052
9047,"207 Juanita Way, San Francisco, CA 94127",4 - Miraloma Park,4080,1597500,1436345,161154
9050,"295 Hazelwood Ave, San Francisco, CA 94127",4 - Westwood Highlands,4130,1700000,1595005,104994
9054,"200 Grafton Ave, San Francisco, CA 94112",3 - Ingleside,3080,1300000,1064828,235171
9065,"3788 Clay St, San Francisco, CA 94118",7 - Presidio Heights,7030,6175000,5711193,463806
9072,"175 Brighton Ave, San Francisco, CA 94112",3 - Ingleside,3080,1160000,915702,244297
9079,"178 Brighton Ave, San Francisco, CA 94112",3 - Ingleside,3080,1300000,958744,341255
9111,"45 Forest Knolls Dr, San Francisco, CA 94115",4 - Forest Knolls,4040,1451000,1133191,317808
